# sensor 0 OK
# sensor 1 OK
# sensor 2 OK
# sensor 3 OK
# sensor 4 OK
# sensor 5 OK
# sensor 0 = onboard LSM6DS3, 1..5 = finger MPU-6050
# SUBTRACT_GYRO_BIAS=1
# units: quat unitless, roll/pitch/yaw deg
millis,sensor_id,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg
# calib_start hold_still_ms=10000
# ---- gyro bias table (deg/s) from still window ----
# sensor_id,n,bias_x,bias_y,bias_z,std_x,std_y,std_z
# 0,1001,-0.198,-1.596,-0.458,0.213,0.049,0.055
# 1,1001,1.071,2.047,1.060,0.081,0.109,0.084
# 2,1001,0.360,2.009,-1.217,0.090,0.125,0.085
# 3,1001,-0.938,3.508,-0.463,0.089,0.147,0.084
# 4,1001,-0.317,3.755,-1.464,0.091,0.203,0.101
# 5,1001,5.788,-6.984,-0.814,0.286,0.344,0.119
# --------------------------------------------------
# ---- seeding orientation from calibration-window accel ----
# sensor 0 seed_accel=0.010,-0.013,1.006
# sensor 1 seed_accel=0.999,-0.001,0.148
# sensor 2 seed_accel=0.993,-0.015,0.220
# sensor 3 seed_accel=0.991,0.014,0.220
# sensor 4 seed_accel=0.975,-0.002,0.260
# sensor 5 seed_accel=1.230,0.171,0.097
# calib_end — fusion running now
11229,1,0.75362,0.00534,-0.65721,-0.01067,9.21,-82.07,-9.64
11229,2,0.77421,-0.03488,-0.63177,-0.01564,-9.75,-78.33,5.63
11229,3,0.77226,0.03301,-0.63428,0.01440,9.61,-78.70,-5.75
11229,4,0.79391,0.01228,-0.60776,-0.01358,7.86,-74.73,-7.96
11229,5,0.64631,0.38388,-0.57216,0.32794,67.32,-82.47,-6.74
11241,0,1.00000,-0.00263,-0.00107,-0.00006,-0.30,-0.12,-0.01
11241,1,0.76016,-0.00902,-0.64967,0.00171,-5.85,-81.00,5.25
11241,2,0.78191,-0.02235,-0.62246,-0.02561,-0.79,-77.05,-3.12
11241,3,0.78146,0.02387,-0.62312,0.02162,2.67,-77.14,1.04
11241,4,0.79189,-0.00587,-0.61063,0.00039,-2.20,-75.26,1.76
11241,5,0.65856,0.38320,-0.55906,0.32696,59.73,-80.73,0.78
11252,0,0.99966,-0.01732,-0.01934,-0.00010,-1.99,-2.22,0.03
11252,1,0.75268,0.00376,-0.65831,-0.00933,7.67,-82.27,-8.12
11252,2,0.77510,-0.03603,-0.63064,-0.01472,-10.46,-78.15,6.33
11252,3,0.77254,0.03316,-0.63394,0.01427,9.69,-78.65,-5.83
11252,4,0.79969,0.00631,-0.60031,-0.00892,4.26,-73.74,-4.48
11252,5,0.64696,0.38573,-0.57122,0.32612,68.51,-82.18,-7.90
11264,0,1.00000,-0.00300,-0.00081,-0.00006,-0.34,-0.09,-0.01
11264,1,0.76082,-0.00591,-0.64893,-0.00101,-2.79,-80.92,2.23
11264,2,0.78195,-0.02211,-0.62242,-0.02581,-0.63,-77.04,-3.28
11264,3,0.78039,0.02328,-0.62446,0.02211,2.28,-77.34,1.42
11264,4,0.79191,-0.00554,-0.61062,0.00015,-2.02,-75.26,1.58
11264,5,0.65794,0.38385,-0.55967,0.32641,60.56,-80.77,-0.05
11275,0,0.99967,-0.01448,-0.02123,-0.00011,-1.66,-2.43,0.02
11275,1,0.75067,0.00005,-0.66065,-0.00619,3.71,-82.68,-4.21
11275,2,0.77348,-0.03260,-0.63274,-0.01746,-8.18,-78.51,4.10
11275,3,0.77926,0.04143,-0.62528,0.00758,14.40,-77.20,-10.40
11275,4,0.79907,0.00784,-0.60110,-0.01010,5.09,-73.84,-5.27
11275,5,0.66592,0.37336,-0.55224,0.33494,48.85,-80.27,11.50
11287,0,0.99999,-0.00403,-0.00028,-0.00003,-0.46,-0.03,-0.00
11287,1,0.76156,-0.00300,-0.64808,-0.00360,0.03,-80.79,-0.57
11287,2,0.78278,-0.02384,-0.62136,-0.02436,-1.78,-76.89,-2.15
11287,3,0.78032,0.02323,-0.62456,0.02214,2.25,-77.35,1.45
11287,4,0.79153,-0.00446,-0.61112,-0.00066,-1.42,-75.34,1.00
11287,5,0.65795,0.38345,-0.55973,0.32676,60.25,-80.80,0.26
11298,0,0.99967,-0.01487,-0.02104,-0.00011,-1.71,-2.41,0.02
11298,1,0.75094,-0.00586,-0.66034,-0.00117,-3.25,-82.64,2.68
11298,2,0.77546,-0.03672,-0.63017,-0.01420,-10.88,-78.06,6.74
11298,3,0.77301,0.03614,-0.63326,0.01186,11.81,-78.49,-7.90
11298,4,0.80162,-0.00068,-0.59782,-0.00353,0.63,-73.43,-0.97
11298,5,0.64743,0.37298,-0.57237,0.33780,55.34,-83.28,5.11
11310,0,0.99999,-0.00415,-0.00021,-0.00003,-0.48,-0.02,-0.00
11310,1,0.76177,-0.00243,-0.64783,-0.00413,0.59,-80.76,-1.12
11310,2,0.78024,-0.02045,-0.62456,-0.02725,0.56,-77.35,-4.45
11310,3,0.78175,0.02568,-0.62274,0.02009,3.88,-77.08,-0.15
11310,4,0.79177,-0.00497,-0.61080,-0.00031,-1.69,-75.29,1.26
11310,5,0.65827,0.38304,-0.55944,0.32709,59.76,-80.79,0.74
11322,0,0.99967,-0.01323,-0.02180,-0.00012,-1.52,-2.50,0.02
11322,1,0.75130,-0.00665,-0.65993,-0.00051,-4.14,-82.57,3.56
11322,2,0.77832,-0.03835,-0.62656,-0.01288,-11.62,-77.51,7.44
11322,3,0.77183,0.01993,-0.63503,0.02482,-0.22,-78.89,3.87
11322,4,0.80109,0.00310,-0.59850,-0.00644,2.56,-73.51,-2.83
11322,5,0.64600,0.38023,-0.57304,0.33126,64.14,-82.88,-3.60
11333,0,0.99999,-0.00436,-0.00012,-0.00003,-0.50,-0.01,-0.00
11333,1,0.76214,-0.00363,-0.64739,-0.00306,-0.55,-80.69,0.01
11333,2,0.77686,-0.02185,-0.62874,-0.02625,-0.26,-77.97,-3.66
11333,3,0.78142,0.02803,-0.62311,0.01815,5.45,-77.12,-1.69
11333,4,0.79310,-0.00550,-0.60907,0.00008,-1.96,-75.04,1.51
11333,5,0.65848,0.38329,-0.55920,0.32679,59.89,-80.73,0.61
11345,0,0.99972,-0.01225,-0.02009,-0.00012,-1.40,-2.30,0.01
11345,1,0.75140,-0.00497,-0.65982,-0.00193,-2.19,-82.57,1.62
11345,2,0.78409,-0.03527,-0.61945,-0.01538,-8.96,-76.53,4.82
11345,3,0.77236,0.01887,-0.63438,0.02565,-1.00,-78.79,4.62
11345,4,0.78913,0.01165,-0.61398,-0.01312,7.99,-75.63,-8.11
11345,5,0.64622,0.37984,-0.57287,0.33158,63.61,-82.88,-3.08
11357,0,0.99999,-0.00306,0.00146,-0.00004,-0.35,0.17,-0.01
11357,1,0.76203,-0.00031,-0.64751,-0.00597,2.57,-80.70,-3.08
11357,2,0.77659,-0.02258,-0.62908,-0.02567,-0.76,-78.02,-3.17
11357,3,0.78212,0.02636,-0.62226,0.01951,4.32,-77.01,-0.58
11357,4,0.79352,-0.00526,-0.60852,-0.00012,-1.81,-74.96,1.37
11357,5,0.65865,0.38369,-0.55896,0.32638,60.14,-80.67,0.36
11369,0,0.99973,-0.01097,-0.02059,-0.00013,-1.26,-2.36,0.01
11369,1,0.75202,-0.00679,-0.65910,-0.00039,-4.23,-82.45,3.65
11369,2,0.78407,-0.03561,-0.61947,-0.01508,-9.18,-76.53,5.04
11369,3,0.77536,0.01434,-0.63068,0.02917,-4.08,-78.19,7.62
11369,4,0.79634,0.01261,-0.60456,-0.01380,7.79,-74.26,-7.89
11369,5,0.64641,0.38205,-0.57238,0.32951,65.64,-82.64,-5.09
11380,0,0.99999,-0.00450,0.00194,-0.00002,-0.52,0.22,-0.00
11380,1,0.76060,0.00175,-0.64917,-0.00778,4.64,-80.93,-5.13
11380,2,0.77671,-0.02268,-0.62892,-0.02560,-0.83,-78.00,-3.10
11380,3,0.78116,0.02979,-0.62340,0.01670,6.64,-77.15,-2.85
11380,4,0.79346,-0.00519,-0.60860,-0.00019,-1.77,-74.97,1.33
11380,5,0.65782,0.38354,-0.55990,0.32662,60.42,-80.81,0.08
11391,0,0.99973,-0.01044,-0.02072,-0.00013,-1.20,-2.37,0.01
11391,1,0.75281,-0.01049,-0.65815,0.00275,-8.27,-82.25,7.64
11391,2,0.78375,-0.03641,-0.61984,-0.01445,-9.70,-76.57,5.55
11391,3,0.77837,0.01211,-0.62693,0.03087,-5.31,-77.61,8.81
11391,4,0.79395,0.01340,-0.60766,-0.01443,8.45,-74.69,-8.54
11391,5,0.66405,0.37113,-0.55464,0.33715,47.42,-80.71,12.91
11403,0,0.99999,-0.00358,0.00169,-0.00004,-0.41,0.19,-0.01
11403,1,0.75936,0.00374,-0.65059,-0.00957,6.74,-81.11,-7.21
11403,2,0.77776,-0.02145,-0.62763,-0.02653,-0.02,-77.81,-3.89
11403,3,0.77929,0.03034,-0.62572,0.01622,7.15,-77.48,-3.35
11403,4,0.79320,-0.00511,-0.60894,-0.00023,-1.74,-75.02,1.30
11403,5,0.65759,0.38290,-0.56028,0.32719,60.04,-80.91,0.45
11415,0,0.99972,-0.01300,-0.01975,-0.00013,-1.49,-2.26,0.01
11415,1,0.75656,-0.01339,-0.65376,0.00517,-10.57,-81.53,9.90
11415,2,0.78281,-0.03584,-0.62106,-0.01489,-9.45,-76.75,5.31
11415,3,0.78187,0.01264,-0.62257,0.03039,-4.61,-76.98,8.12
11415,4,0.79390,0.01188,-0.60779,-0.01327,7.64,-74.74,-7.75
11415,5,0.66909,0.39067,-0.54632,0.31818,60.81,-78.43,-0.31
11426,0,0.99999,-0.00329,0.00158,-0.00005,-0.38,0.18,-0.01
11426,1,0.75751,0.00431,-0.65273,-0.01009,7.59,-81.42,-8.06
11426,2,0.77747,-0.02012,-0.62799,-0.02757,0.91,-77.85,-4.80
11426,3,0.77998,0.03056,-0.62485,0.01608,7.23,-77.35,-3.43
11426,4,0.79335,-0.00668,-0.60873,0.00097,-2.61,-74.98,2.14
11426,5,0.65765,0.38315,-0.56016,0.32698,60.20,-80.87,0.29
11438,0,0.99976,-0.01299,-0.01759,-0.00012,-1.49,-2.02,0.01
11438,1,0.75829,-0.01342,-0.65176,0.00516,-10.23,-81.23,9.56
11438,2,0.78240,-0.03638,-0.62155,-0.01444,-9.84,-76.82,5.69
11438,3,0.77475,0.01470,-0.63144,0.02893,-3.90,-78.31,7.45
11438,4,0.79182,0.01172,-0.61050,-0.01315,7.75,-75.13,-7.87
11438,5,0.65972,0.39874,-0.55540,0.31195,70.08,-78.99,-9.44
11450,0,0.99999,-0.00183,0.00301,-0.00005,-0.21,0.34,-0.01
11450,1,0.75708,0.00422,-0.65323,-0.01003,7.58,-81.50,-8.05
11450,2,0.77624,-0.02161,-0.62951,-0.02643,-0.08,-78.08,-3.84
11450,3,0.78267,0.02709,-0.62156,0.01893,4.78,-76.90,-1.02
11450,4,0.79350,-0.00666,-0.60854,0.00096,-2.59,-74.96,2.13
11450,5,0.65717,0.38309,-0.56069,0.32711,60.37,-80.95,0.12
11461,0,0.99976,-0.01346,-0.01733,-0.00012,-1.54,-1.99,0.01
11461,1,0.75697,-0.01205,-0.65332,0.00400,-9.13,-81.49,8.48
11461,2,0.78339,-0.03520,-0.62035,-0.01540,-8.99,-76.66,4.86
11461,3,0.77347,0.02240,-0.63303,0.02281,1.68,-78.60,2.01
11461,4,0.78911,0.01012,-0.61405,-0.01196,7.11,-75.66,-7.26
11461,5,0.66852,0.38468,-0.54788,0.32394,56.95,-79.04,3.50
11472,0,0.99999,-0.00214,0.00318,-0.00003,-0.25,0.36,-0.00
11472,1,0.75776,0.00565,-0.65242,-0.01126,8.89,-81.35,-9.35
11472,2,0.77633,-0.02170,-0.62940,-0.02636,-0.14,-78.07,-3.77
11472,3,0.78391,0.02580,-0.62001,0.01996,3.91,-76.68,-0.18
11472,4,0.79446,-0.00588,-0.60728,0.00033,-2.13,-74.78,1.68
11472,5,0.65636,0.38205,-0.56172,0.32817,59.90,-81.17,0.59
11484,0,0.99976,-0.01223,-0.01798,-0.00011,-1.40,-2.06,0.01
11484,1,0.75790,-0.01212,-0.65224,0.00403,-9.02,-81.33,8.36
11484,2,0.78351,-0.03522,-0.62019,-0.01536,-9.00,-76.64,4.87
11484,3,0.77352,0.02594,-0.63292,0.02000,4.29,-78.58,-0.55
11484,4,0.78505,0.00121,-0.61941,-0.00519,2.05,-76.54,-2.38
11484,5,0.66220,0.39677,-0.55301,0.31344,67.65,-78.85,-7.05
11496,0,0.99999,-0.00326,0.00367,-0.00000,-0.37,0.42,-0.00
11496,1,0.75758,0.00564,-0.65262,-0.01125,8.91,-81.38,-9.37
11496,2,0.77728,-0.02053,-0.62823,-0.02723,0.63,-77.89,-4.52
