# Cheirograph Phase 2 - single MPU-6050 (direct I2C, no mux), bench capture
# Sketch: firmware/02_single_mpu6050_test/diagnostics/gyro_raw/gyro_raw.ino
# Library: MPU6050_light (rfetick). Units: deg/s. Loop delay 10 ms (~100 Hz).
# The sensor was rotated and shaken freely by hand; rates swing to ~+/-240 deg/s
# on the fast flicks and settle near a small constant bias (~2-3 deg/s) when held
# still, which is the leftover the Madgwick filter will have to lean on later.
gx,gy,gz
-59.66,-105.77,-25.20
-61.98,-93.79,-29.27
-64.15,-76.20,-30.40
-66.11,-58.99,-31.13
-68.67,-45.34,-34.36
-71.91,-32.43,-34.91
-76.85,-25.02,-30.77
-84.85,-21.45,-23.39
-93.10,-24.37,-12.17
-100.17,-30.24,-0.84
-105.95,-32.44,9.61
-109.27,-39.45,21.17
-112.41,-45.34,29.69
-112.62,-46.41,37.95
-107.57,-47.43,46.42
-98.24,-41.91,56.07
-89.16,-29.40,65.71
-84.06,-2.08,71.06
-80.94,4.61,77.31
-77.10,-14.35,79.06
-70.96,-14.44,80.03
-65.94,12.93,83.19
-64.12,20.60,87.06
-60.76,1.24,92.07
-56.29,-0.63,94.36
-53.53,2.20,95.71
-48.15,15.24,96.15
-41.02,-4.29,93.83
-28.91,-25.65,82.56
-23.97,-39.54,67.35
-28.03,-58.24,58.01
-38.07,-73.14,50.41
-28.76,-71.68,54.44
-27.92,-62.27,44.30
-31.60,-64.79,31.02
-35.66,-71.66,18.87
-25.48,-70.18,19.90
-18.61,-72.64,29.74
-19.71,-80.90,36.18
-16.79,-89.47,36.76
-21.51,-88.01,24.76
-26.18,-89.19,6.53
-24.70,-80.79,-7.70
-24.29,-60.00,-11.35
-28.67,-43.13,-5.35
-34.64,-33.10,12.99
-24.26,-28.95,19.84
-4.82,10.99,-63.07
-3.71,-16.26,-70.78
8.40,-3.07,-75.16
13.91,11.48,-83.04
29.01,10.99,-94.94
41.12,84.99,-75.81
13.28,132.70,11.95
2.00,3.53,11.81
21.60,-14.78,6.87
35.01,-4.85,-6.46
28.08,40.35,12.13
10.09,14.63,5.86
0.00,4.38,3.34
-0.09,2.78,2.47
-0.03,3.01,2.41
-0.12,3.51,3.22
0.03,1.11,2.65
-0.17,3.08,2.61
0.06,2.47,2.48
-0.01,2.87,2.62
0.08,2.96,2.41
-0.09,2.84,2.59
0.08,2.63,2.53
0.09,2.60,2.73
0.14,2.70,2.71
1.09,2.78,2.82
4.63,2.63,3.14
6.52,2.70,3.49
6.86,2.55,3.51
5.94,2.60,3.35
4.63,2.99,3.38
3.38,2.99,3.22
2.29,2.78,3.14
1.83,2.82,2.73
0.51,2.78,2.55
-0.11,2.93,2.56
-0.15,3.02,2.64
0.02,2.90,2.48
0.06,2.98,2.50
-0.14,3.08,2.56
-0.01,2.92,2.55
0.00,2.84,2.59
-0.06,2.87,2.71
-0.18,2.93,2.59
0.03,2.72,2.65
-0.15,2.99,2.56
-0.03,3.05,2.62
-0.09,2.95,2.56
0.25,2.87,2.42
-0.04,3.04,2.51
-0.01,2.92,2.48
0.11,3.08,2.32
-0.14,2.35,2.42
10.28,10.95,4.99
13.35,2.37,4.61
30.28,2.73,6.87
45.93,3.59,9.67
70.78,4.43,13.06
59.54,3.60,11.31
3.59,-3.54,2.93
-37.30,3.22,-2.89
6.99,0.21,3.83
6.76,0.64,3.61
8.26,-7.56,3.98
16.96,-8.82,5.32
25.07,5.25,5.98
33.45,4.12,6.76
37.16,3.50,7.54
38.09,4.46,7.48
35.09,4.00,6.96
37.19,3.02,7.72
32.86,2.90,6.90
30.44,4.75,6.59
26.37,3.48,5.98
14.34,3.05,4.12
